tconst,movieTitle,runtimeMinutes,numVotes,label,director_id,writer_id,Year,title_language,sentiment_score,word_count,tomatometer_rating,audience_rating
tt0009369,Mickey,93,1119,False,2191,3782,1918,22,0.0,1,67.0,63.0
tt0010600,The Doll,66,1898,True,2648,8729,1919,5,0.0,2,67.0,63.0
tt0011439,The Mark of Zorro,79,2439,True,3051,10612,1920,6,0.0,4,91.0,79.0
tt0011607,The Parsons Widow,94,1264,True,401,4214,1920,9,0.0,3,67.0,63.0
tt0011841,Way Down East,145,5376,True,79,75,1920,6,-0.15555555555555556,3,95.0,69.0
tt0012349,The Kid,68,121452,True,24,23,1921,6,0.0,2,45.0,45.0
tt0012494,Destiny,97,5842,True,89,8430,1921,5,0.0,1,67.0,63.0
tt0012532,Orphans of the Storm,150,13335,True,79,75,1921,31,0.0,4,92.0,71.0
tt0013257,Haxan,91,13679,True,1132,1904,1922,9,0.0,1,67.0,63.0
tt0013556,Robin Hood,143,2178,True,1471,8799,1922,24,0.0,2,15.0,41.0
tt0013933,The Faithful Heart,87,1252,True,1512,2737,1923,10,0.0,3,67.0,63.0
tt0014109,The Saga of Gosta Berling,183,1231,True,3841,7870,1924,6,0.0,5,67.0,63.0
tt0014142,The Hunchback of Notre Dame,133,5288,True,4245,6962,1923,6,0.0,5,71.0,70.0
tt0014341,Our Hospitality,65,10911,True,864,5800,1923,6,0.0,2,96.0,89.0
tt0014358,The Pilgrim,47,4891,True,24,23,1923,6,0.0,2,67.0,63.0
tt0014538,Three Ages,63,4312,True,6,5,1923,6,0.0,2,67.0,63.0
tt0014611,Why Worry,63,1739,True,3048,8474,1923,6,0.0,2,67.0,63.0
tt0014945,Girl Shy,87,3327,True,3922,5165,1924,6,-0.5,2,67.0,63.0
tt0015064,The Last Laugh,77,13335,True,412,5535,1924,5,0.15,3,53.0,36.0
tt0015163,The Navigator,59,9652,True,1243,3777,1924,6,0.0,2,100.0,89.0
tt0015224,Peter Pan,105,1042,True,931,3342,1924,13,0.0,2,77.0,74.0
tt0015361,Strike,82,7695,True,209,6585,1925,26,0.0,1,83.0,76.0
tt0015400,The Thief of Bagdad,155,6001,True,4119,6184,1924,6,0.0,4,96.0,82.0
tt0015841,The Freshman,77,5374,True,3048,5165,1925,6,0.0,2,94.0,61.0
tt0015842,The Joyless Street,125,1554,True,3157,10976,1925,6,0.0,3,67.0,63.0
tt0015864,The Gold Rush,95,107475,True,24,23,1925,6,0.0,3,100.0,93.0
tt0015881,Greed,140,9649,True,359,2808,1924,0,0.0,1,47.0,33.0
tt0016029,The Little Colonel,81,1646,True,996,1597,1935,6,-0.1875,3,67.0,63.0
tt0016220,The Phantom of the Opera,93,17887,True,2201,10699,1925,6,0.0,5,33.0,84.0
tt0016544,The Wizard of Oz,95,1497,False,3651,7428,1925,6,0.0,4,98.0,89.0
tt0016630,Battling Butler,77,3285,True,6,5668,1926,5,0.0,2,80.0,75.0
tt0016641,BenHur A Tale of the Christ,143,7539,True,3051,1640,1925,6,0.0,6,67.0,63.0
tt0016847,Faust,107,14809,True,412,3338,1926,5,0.0,1,73.0,91.0
tt0017048,A Page of Madness,70,3357,True,2331,10075,1926,6,0.0,4,67.0,63.0
tt0017271,By the Law,80,1057,True,2421,7543,1926,6,0.0,3,67.0,63.0
tt0017350,The Scarlet Letter,115,1768,True,3745,5416,1926,6,0.0,3,13.0,41.0
tt0017463,3 Bad Men,92,1165,True,74,1383,1926,5,-0.6999999999999998,3,67.0,63.0
tt0017925,The General,67,87784,True,967,7680,1926,6,0.05000000000000002,2,82.0,81.0
tt0017961,Happiness,95,1080,True,2836,5645,1935,9,0.7,1,81.0,89.0
tt0018054,The King of Kings,160,2081,True,199,5315,1927,6,0.0,4,67.0,63.0
tt0018066,The End of St Petersburg,85,13335,True,3319,8934,1927,5,0.0,5,67.0,63.0
tt0018192,Napoleon,330,7622,True,1680,3128,1927,10,0.0,1,67.0,63.0
tt0018379,7th Heaven,110,3499,True,890,5980,1927,6,0.0,2,67.0,63.0
tt0018451,The Student Prince in Old Heidelberg,106,1459,True,2648,5709,1927,6,0.1,6,67.0,63.0
tt0018526,Underworld,80,2912,True,4089,8434,1927,10,0.0,1,31.0,79.0
tt0018528,The Unknown,63,7850,True,963,6939,1927,6,-0.1,2,67.0,63.0
tt0018578,Wings,144,13335,True,1276,5892,1927,5,0.0,1,93.0,78.0
tt0018684,Beggars of Life,100,1093,True,4177,8245,1928,6,0.0,3,67.0,63.0
tt0018742,The Cameraman,76,11388,True,6,5892,1928,6,0.0,2,67.0,63.0
tt0018773,The Circus,72,32601,True,24,23,1928,20,0.0,2,96.0,94.0
tt0018806,The Crowd,98,8197,True,4067,1051,1928,6,0.0,2,67.0,63.0
