movie_title,genres,tomatometer_rating,tomatometer_count,audience_rating,audience_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
Percy Jackson & the Olympians: The Lightning Thief,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",49.0,149.0,53.0,254421.0,73,76
Please Give,Comedy,87.0,142.0,64.0,11574.0,123,19
10,"Comedy, Romance",67.0,24.0,53.0,14684.0,16,8
12 Angry Men (Twelve Angry Men),"Classics, Drama",100.0,54.0,97.0,105386.0,54,0
"20,000 Leagues Under The Sea","Action & Adventure, Drama, Kids & Family",89.0,27.0,74.0,68918.0,24,3
"10,000 B.C.","Action & Adventure, Classics, Drama",8.0,149.0,37.0,411140.0,12,137
The 39 Steps,"Action & Adventure, Classics, Mystery & Suspense",96.0,51.0,86.0,23890.0,49,2
3:10 to Yuma,"Classics, Drama, Western",96.0,28.0,79.0,9243.0,27,1
Charly (A Heartbeat Away),"Comedy, Drama, Romance",20.0,10.0,87.0,4819.0,2,8
Abraham Lincoln,"Classics, Drama",82.0,11.0,40.0,457.0,9,2
Dark Water,"Art House & International, Horror, Mystery & Suspense",80.0,15.0,66.0,21475.0,12,3
The Accused,"Drama, Mystery & Suspense",91.0,22.0,79.0,20821.0,20,2
The Lost City,Drama,25.0,83.0,64.0,25944.0,21,62
The Breaking Point,Drama,100.0,10.0,86.0,335.0,10,0
Adam's Rib,"Classics, Comedy, Romance",96.0,28.0,86.0,10563.0,27,1
The Bridge of San Luis Rey,"Art House & International, Drama, Faith & Spirituality",4.0,24.0,35.0,1935.0,1,23
The Prowler (Cost of Living ),"Drama, Mystery & Suspense",100.0,18.0,86.0,286.0,18,0
Criminal,"Drama, Mystery & Suspense",69.0,124.0,57.0,6711.0,85,39
The Adventures of Mark Twain,"Action & Adventure, Animation, Kids & Family",80.0,5.0,82.0,1046.0,4,1
Deep Blue,"Documentary, Special Interest",67.0,52.0,80.0,4692.0,35,17
The Adventures of Robin Hood,"Action & Adventure, Classics, Romance",100.0,48.0,89.0,33946.0,48,0
Man Hunt,"Classics, Drama, Mystery & Suspense",92.0,12.0,75.0,554.0,11,1
Dead End,"Comedy, Horror, Mystery & Suspense",75.0,8.0,60.0,10373.0,6,2
Bandwagon,Comedy,80.0,5.0,91.0,386.0,4,1
Whore,"Art House & International, Drama",0.0,6.0,63.0,914.0,0,6
Tristan & Isolde,"Drama, Science Fiction & Fantasy, Romance",31.0,121.0,71.0,220956.0,38,83
Wild Side,"Art House & International, Drama",63.0,16.0,80.0,867.0,10,6
A Tale of Two Pizzas,Comedy,38.0,8.0,63.0,0.0,3,5
Running Scared,"Action & Adventure, Drama, Mystery & Suspense",41.0,131.0,79.0,135400.0,54,77
Going the Distance,Comedy,0.0,5.0,61.0,13033.0,0,5
Ultraviolet,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy",8.0,83.0,30.0,279994.0,7,76
Home of the Brave,"Action & Adventure, Documentary, Drama, Special Interest",93.0,15.0,48.0,866.0,14,1
Arthur and the Invisibles (Arthur and the Minimoys),"Animation, Kids & Family, Science Fiction & Fantasy",22.0,92.0,56.0,134483.0,20,72
Malevolence,Horror,33.0,18.0,83.0,2622.0,6,12
Eternal,"Horror, Mystery & Suspense",21.0,34.0,39.0,1295.0,7,27
A Farewell To Arms,"Classics, Drama, Romance",0.0,12.0,37.0,1460.0,0,12
The Narrow Margin,"Classics, Drama, Mystery & Suspense",100.0,11.0,88.0,1135.0,11,0
The Matador,"Action & Adventure, Comedy, Drama, Mystery & Suspense",75.0,156.0,65.0,73701.0,117,39
Smile,"Art House & International, Comedy, Drama",15.0,13.0,66.0,2059.0,2,11
The Intruder (L'Intrus),"Art House & International, Drama",87.0,30.0,73.0,9701.0,26,4
Saint Ralph,"Comedy, Drama",64.0,69.0,85.0,6203.0,44,25
The Baxter,"Comedy, Romance",32.0,75.0,75.0,7436.0,24,51
Oliver Twist,"Drama, Kids & Family",61.0,143.0,63.0,23294.0,87,56
The Alamo,"Action & Adventure, Classics, Drama, Western",52.0,21.0,63.0,7337.0,11,10
G,"Drama, Romance",24.0,29.0,60.0,1143.0,7,22
Alexander the Great,Classics,0.0,8.0,42.0,5383.0,0,8
Alfie,"Classics, Comedy, Drama, Romance",96.0,27.0,76.0,14669.0,26,1
Neverwas,"Drama, Mystery & Suspense",14.0,7.0,65.0,4059.0,1,6
The Second Chance,"Drama, Faith & Spirituality",44.0,16.0,78.0,79542.0,7,9
Moonlight,"Drama, Mystery & Suspense",60.0,10.0,67.0,1430.0,6,4
Aliens,"Action & Adventure, Horror, Science Fiction & Fantasy",97.0,76.0,94.0,429674.0,74,2
Rise: Blood Hunter,"Horror, Mystery & Suspense",36.0,14.0,20.0,8239.0,5,9
All About Eve,"Classics, Drama",99.0,77.0,94.0,45248.0,76,1
When Do We Eat?,Comedy,42.0,38.0,68.0,1121.0,16,22
The Mostly Unfabulous Social Life of Ethan Green,"Comedy, Drama",30.0,27.0,58.0,2394.0,8,19
Dirty,Drama,21.0,28.0,42.0,7326.0,6,22
Stay Alive,"Horror, Mystery & Suspense",10.0,59.0,55.0,113424.0,6,53
All of Me,"Comedy, Science Fiction & Fantasy",85.0,41.0,67.0,14346.0,35,6
All Quiet on the Western Front,Drama,100.0,5.0,69.0,7588.0,5,0
Dreamland,"Art House & International, Drama",67.0,15.0,65.0,5650.0,10,5
Independent Lens,"Documentary, Special Interest",84.0,50.0,84.0,1854.0,42,8
All the King's Men,"Classics, Drama",95.0,42.0,78.0,4866.0,40,2
Street Fight,"Documentary, Special Interest",100.0,22.0,93.0,2989.0,22,0
Lost Horizon,"Action & Adventure, Drama, Musical & Performing Arts, Science Fiction & Fantasy",20.0,5.0,45.0,455.0,1,4
The Motel,"Comedy, Drama",88.0,32.0,64.0,4038.0,28,4
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"Documentary, Sports & Fitness",81.0,59.0,80.0,1416.0,48,11
Requiem,"Art House & International, Drama, Horror, Mystery & Suspense",86.0,36.0,66.0,4728.0,31,5
Gui si (Silk),"Art House & International, Horror, Mystery & Suspense",40.0,5.0,57.0,2531.0,2,3
Park,"Art House & International, Comedy, Drama",36.0,11.0,48.0,684.0,4,7
