tconst,primaryTitle,startYear,runtimeMinutes,numVotes,label,director_id,writer_id
tt0010600,The Doll,1919,66,1898,True,nm0523932,nm0932559
tt0011841,Way Down East,1920,145,5376,True,nm0000428,nm0000428
tt0012494,Déstiny,1921,97,5842,True,nm0000485,nm0902376
tt0015163,The Navigator,1924,59,9652,True,nm0187981,nm0369841
tt0016220,The Phantom of the Opera,1925,93,17887,True,nm0432216,nm1541473
tt0016630,Báttling Bútlér,1926,77,3285,True,nm0000036,nm0577650
tt0021015,Juno and the Paycock,1929,85,2275,False,nm0000033,nm0720904
tt0023973,Thé Éáglé ánd thé Háwk,1933,73,4527,True,nm0908234,nm0766850
tt0023986,Émplớyéés' Éntráncé,1933,75,4527,True,nm0215877,nm0091200
tt0024184,The Invisible Man,1933,71,33562,True,nm0001843,nm0943804
tt0024216,King Kong,1933,100,83177,True,nm0774325,nm0330390
tt0025028,Dames,1934,91,2038,True,nm0000923,nm0520501
tt0027478,The Crime of Monsieur Lange,1936,80,4527,True,nm0719756,nm0719756
tt0028333,Swing Timé,1936,103,4527,True,nm0828419,nm0949130
tt0030341,The Lady Vanishes,1938,96,50707,True,nm0000033,nm0490950
tt0031143,The Cat and the Canary,1939,72,2967,True,nm0637790,nm0929616
tt0031385,"Goodbye, Mr. Chips",1939,114,10311,True,nm0939992,nm0385264
tt0031647,Midnight,1939,94,4904,True,nm0500552,nm0776456
tt0031762,Only Angels Have Wings,1939,121,13595,True,nm0001328,nm0710299
tt0032156,The Story of the Last Chrysanthemum,1939,143,3600,True,nm0003226,nm0406808
tt0032520,The Ghost Breakers,1940,85,3378,True,nm0550892,nm0323766
tt0032904,The Philadelphia Story,2005,112,66874,True,nm0002030,nm0759029
tt0033022,Sáps át Séá,1940,56,2766,True,nm0235066,nm0491048
tt0033152,The Thief of Bagdad,2005,106,12840,True,nm0003490,nm0000067
tt0033945,Never Give a Sucker an Even Break,1941,71,2315,True,nm0166836,nm0001211
tt0034862,Holiday Inn,1942,100,14436,True,nm0762263,nm0841702
tt0035009,The Mad Monster,1942,77,1720,False,nm0627864,nm0617202
tt0036260,Phantom Lady,1944,87,4833,True,nm0802563,nm0941280
tt0036716,Cobra Woman,1944,71,1101,False,nm0802563,nm0201405
tt0037055,The Mask of Dimitrios,1944,95,3530,True,nm0624535,nm0001907
tt0037913,Mildréd Piércé,1945,111,24727,True,nm0002031,nm0932163
tt0037939,The Naughty Nineties,1945,76,1957,True,nm0946391,nm0115669
tt0038057,Scarlet Street,1945,102,15930,True,nm0000485,nm0629580
tt0038355,The Big Sleep,1946,114,83357,True,nm0001328,nm0151452
tt0038733,Stáirwáy tớ Héávén,1946,104,21218,True,nm0003836,nm0696247
tt0039305,Dead Reckoning,2005,100,7368,True,nm0188669,nm0081126
tt0039631,Monsieur Verdoux,1947,124,16962,True,nm0000122,nm0000080
tt0039676,The October Man,2005,95,1260,True,nm0001928,nm0001907
tt0040626,My Dear Secretary,1948,94,4527,False,nm0552058,nm0552058
tt0040724,Réd Rivér,1948,133,30065,True,nm0001328,nm0773660
tt0040737,Bitter Rice,1949,108,4052,True,nm0211459,nm0598102
tt0040795,Sitting Pretty,1948,83,2332,True,nm0485943,nm0202600
tt0040843,The Street with No Name,1948,91,2910,True,nm0445033,nm0257143
tt0040970,The Winslow Boy,1948,117,1422,True,nm0002190,nm0344645
tt0042395,Dévil's Dớớrwáy,1950,84,1544,True,nm0542649,nm0873613
tt0042451,Father of the Bride,1950,92,10941,True,nm0591486,nm0834117
tt0042742,Mister 880,1950,90,1519,True,nm0332539,nm0571306
tt0042792,No Way Out,1950,106,4931,True,nm0000581,nm0948634
tt0043278,An American in Paris,1951,114,32528,True,nm0591486,nm0503585
tt0043332,Beautiful,1951,114,4439,True,nm0899581,nm0899581
tt0043769,The Magic Box,1951,118,1241,True,nm0099589,nm0001907
tt0043918,Thé Littlé Wớrld ớf Dớn Cámillớ,1952,107,4348,True,nm0245213,nm0080755
tt0043927,La Poison,1951,85,1262,True,nm0347589,nm0347589
tt0045205,Sudden Fear,1952,110,5993,True,nm0588183,nm0001076
tt0045554,Welcome Mr. Marshall!,1953,78,4153,True,nm0305557,nm0586263
tt0045793,From Here to Eternity,1953,118,45651,True,nm0003593,nm0428296
tt0046248,Robot Monster,1953,66,4924,False,nm0875973,nm0649560
tt0047494,The Silver Chalice,1954,142,1562,False,nm0767701,nm0760488
tt0047647,Vera Cruz,1954,94,9802,True,nm0000736,nm0153698
tt0048337,A Man Called Peter,1955,119,1007,True,nm0467396,nm0550798
tt0048342,The Man from Laramie,1955,103,10440,True,nm0542649,nm0283638
tt0048380,Mister Roberts,1955,123,16258,True,nm0000406,nm0373764
tt0049783,The Forty-First,2005,88,1484,True,nm0161055,nm0492239
tt0050105,An Affair to Remember,2005,115,29423,True,nm0564970,nm0829330
tt0050356,The Enemy Below,1957,98,10685,True,nm0694090,nm0713454
tt0050858,The Pride and the Passion,1957,132,2733,False,nm0006452,nm0271641
tt0051047,The Tall T,2005,78,5001,True,nm0091430,nm0001465
tt0051337,Thé 7th Vớyágé ớf Sinbád,1958,88,12888,True,nm0432846,nm0366063
tt0051507,Curse of the Faceless Man,2005,67,1035,False,nm0128715,nm0003198
tt0052151,Run Silent Run Deep,1958,93,11169,True,nm0936404,nm0063459
tt0052188,She Gods of Shark Reef,1958,63,1002,False,nm0000339,nm0831580
tt0052646,The Brain That Wouldn't Die,2005,82,6802,False,nm0338018,nm0138223
tt0052735,The Devil's Disciple,1959,83,2382,True,nm0533241,nm0789737
tt0052876,The Hanging Tree,1959,107,4083,True,nm0202681,nm0424986
tt0053121,Fires on the Plain,1959,108,4527,True,nm0406728,nm0905271
tt0053183,Pork Chop Hill,1959,97,4527,True,nm0587277,nm0916139
tt0053242,Sápphiré,1959,92,1730,True,nm0213136,nm0375355
tt0053765,The Goddess,1960,93,2182,True,nm0006249,nm0006249
tt0053796,The Entertainer,1960,96,3278,True,nm0724798,nm0460600
tt0053967,The Young One,1960,96,2716,True,nm0000320,nm0000320
tt0054189,Purple Noon,1960,118,15669,True,nm0167496,nm0337541
tt0054387,The Time Machine,1960,103,39561,True,nm0657162,nm0920229
tt0054412,Tunes of Glory,1960,107,4527,True,nm0623768,nm0447860
tt0055032,Jules and Jim,1962,105,40021,True,nm0000076,nm0344171
tt0055294,The Phantom Planet,1961,82,2898,False,nm0550777,nm0550777
tt0056059,Hatari!,1962,157,12556,True,nm0001328,nm0475823
tt0056215,Mamma Roma,1962,106,8890,True,nm0001596,nm0001596
tt0056537,Subarnarekha,1965,143,1035,True,nm0315547,nm0422587
tt0056732,The Exterminating Angel,1962,95,32160,True,nm0000320,nm0017274
tt0057180,The Incredible Journey,2005,80,4480,True,nm0548529,nm0122484
tt0057239,The L-Shaped Room,1962,126,1905,True,nm0285302,nm0285302
tt0057344,Any Number Can Win,1963,118,3390,True,nm0894577,nm0800631
tt0057490,The Servant,1963,116,11433,True,nm0521334,nm0560855
tt0057530,A Stitch in Time,1963,89,1122,True,nm0038895,nm0504087
tt0057579,The Three Lives of Thomasina,1963,97,2287,True,nm0149548,nm0302904
tt0057859,Monstrosity,1963,65,2705,False,nm0556140,nm0689565
tt0057933,The Chalk Garden,1964,106,2091,True,nm0623768,nm0046779
tt0058050,The Earth Dies Screaming,1964,62,1727,False,nm0279807,nm0189171
tt0058213,"Hush...Hush, Sweet Charlotte",1964,133,14036,True,nm0000736,nm0375355
tt0058390,The Naked Kiss,1964,90,7570,True,nm0002087,nm0002087
tt0058576,Seven Days in May,1964,118,15215,True,nm0001239,nm0785245
tt0059124,Dr. Goldfoot and the Bikini Machine,1965,88,2181,False,nm0393094,nm0382384
tt0059287,How to Stuff a Wild Bikini,1965,93,1450,False,nm0038906,nm0870150
tt0060074,Agent for H.A.R.M.,1966,84,1444,False,nm0652631,nm0731741
tt0060165,A Big Hand for the Little Lady,1966,95,4527,True,nm0177034,nm0140987
tt0060474,La Grande Vadrouille,1966,132,17162,True,nm0653620,nm0845966
tt0060635,Dragon Inn,1967,111,2728,True,nm0002254,nm0002254
tt0061197,Winnetou and the Crossbreed,1966,90,4527,False,nm0679974,nm0219043
tt0061489,Clambake,1967,99,4527,False,nm0618834,nm0114948
tt0061759,The Hellcats,1968,90,1803,False,nm0805500,nm0924928
tt0061855,When I Am Dead and Gone,1967,79,1180,True,nm0667870,nm0586235
tt0061955,The Bride Wore Black,1968,107,9110,True,nm0000076,nm0723827
tt0061994,Plucked,1968,86,1400,False,nm0703368,nm0703368
tt0062229,Le Samouraï,1967,105,49085,True,nm0578483,nm0670958
tt0062765,Búllitt,2005,114,66228,True,nm0946811,nm0279302
tt0063023,The Adventures of Goopy and Bagha,1969,132,2405,True,nm0006249,nm0713082
tt0063288,Be Sick... It's Free,1968,98,1498,True,nm0952737,nm0952737
tt0063845,The Golden Calf,1968,164,2712,True,nm0796073,nm0796073
tt0064107,A Boy Named Charlie Brown,1969,86,4856,True,nm0006837,nm0776433
tt0064155,Charro!,1969,98,1920,False,nm0912766,nm0288996
tt0065446,The Ballad of Cable Hogue,2005,121,9288,True,nm0001603,nm0206137
tt0065969,The Last Valley,1971,125,3125,True,nm0165412,nm0681725
