tconst,primaryTitle,startYear,runtimeMinutes,numVotes,label,director_id,writer_id,clean_title,word_count
tt0010600,The Doll,1919,66,1898,True,nm0523932,nm0932559,the doll,2
tt0011841,Way Down East,1920,145,5376,True,nm0000428,nm0000428,way down east,3
tt0012494,Déstiny,1921,97,5842,True,nm0000485,nm0902376,déstiny,1
tt0015163,The Navigator,1924,59,9652,True,nm0187981,nm0369841,the navigator,2
tt0016220,The Phantom of the Opera,1925,93,17887,True,nm0432216,nm1541473,the phantom of the opera,5
tt0016630,Báttling Bútlér,1926,77,3285,True,nm0000036,nm0577650,báttling bútlér,2
tt0021015,Juno and the Paycock,1929,85,2275,False,nm0000033,nm0720904,juno and the paycock,4
tt0023973,Thé Éáglé ánd thé Háwk,1933,73,4527,True,nm0908234,nm0766850,thé éáglé ánd thé háwk,5
tt0023986,Émplớyéés' Éntráncé,1933,75,4527,True,nm0215877,nm0091200,émplớyéés éntráncé,2
tt0024184,The Invisible Man,1933,71,33562,True,nm0001843,nm0943804,the invisible man,3
tt0024216,King Kong,1933,100,83177,True,nm0774325,nm0330390,king kong,2
tt0025028,Dames,1934,91,2038,True,nm0000923,nm0520501,dames,1
tt0027478,The Crime of Monsieur Lange,1936,80,4527,True,nm0719756,nm0719756,the crime of monsieur lange,5
tt0028333,Swing Timé,1936,103,4527,True,nm0828419,nm0949130,swing timé,2
tt0030341,The Lady Vanishes,1938,96,50707,True,nm0000033,nm0490950,the lady vanishes,3
tt0031143,The Cat and the Canary,1939,72,2967,True,nm0637790,nm0929616,the cat and the canary,5
tt0031385,"Goodbye, Mr. Chips",1939,114,10311,True,nm0939992,nm0385264,goodbye mr chips,3
tt0031647,Midnight,1939,94,4904,True,nm0500552,nm0776456,midnight,1
tt0031762,Only Angels Have Wings,1939,121,13595,True,nm0001328,nm0710299,only angels have wings,4
tt0032156,The Story of the Last Chrysanthemum,1939,143,3600,True,nm0003226,nm0406808,the story of the last chrysanthemum,6
