runtimeMinutes,numVotes,label,director_id,writer_id,Year,title_language,sentiment_score,word_count,tomatometer_rating,audience_rating
93,1119,False,2191,3782,1918,22,0.0,1,67.0,63.0
66,1898,True,2648,8729,1919,5,0.0,2,67.0,63.0
79,2439,True,3051,10612,1920,6,0.0,4,91.0,79.0
94,1264,True,401,4214,1920,9,0.0,3,67.0,63.0
145,5376,True,79,75,1920,6,-0.15555555555555556,3,95.0,69.0
68,121452,True,24,23,1921,6,0.0,2,45.0,45.0
97,5842,True,89,8430,1921,5,0.0,1,67.0,63.0
150,13335,True,79,75,1921,31,0.0,4,92.0,71.0
91,13679,True,1132,1904,1922,24,0.0,1,67.0,63.0
143,2178,True,1471,8799,1922,24,0.0,2,15.0,41.0
87,1252,True,1512,2737,1923,10,0.0,3,67.0,63.0
183,1231,True,3841,7870,1924,6,0.0,5,67.0,63.0
133,5288,True,4245,6962,1923,6,0.0,5,71.0,70.0
65,10911,True,864,5800,1923,6,0.0,2,96.0,89.0
47,4891,True,24,23,1923,6,0.0,2,67.0,63.0
63,4312,True,6,5,1923,6,0.0,2,67.0,63.0
63,1739,True,3048,8474,1923,6,0.0,2,67.0,63.0
87,3327,True,3922,5165,1924,6,-0.5,2,67.0,63.0
77,13335,True,412,5535,1924,5,0.15,3,53.0,36.0
59,9652,True,1243,3777,1924,6,0.0,2,100.0,89.0
105,1042,True,931,3342,1924,13,0.0,2,77.0,74.0
82,7695,True,209,6585,1925,26,0.0,1,83.0,76.0
155,6001,True,4119,6184,1924,6,0.0,4,96.0,82.0
77,5374,True,3048,5165,1925,6,0.0,2,94.0,61.0
125,1554,True,3157,10976,1925,6,0.0,3,67.0,63.0
95,107475,True,24,23,1925,6,0.0,3,100.0,93.0
140,9649,True,359,2808,1924,0,0.0,1,47.0,33.0
81,1646,True,996,1597,1935,6,-0.1875,3,67.0,63.0
93,17887,True,2201,10699,1925,6,0.0,5,33.0,84.0
95,1497,False,3651,7428,1925,6,0.0,4,98.0,89.0
77,3285,True,6,5668,1926,5,0.0,2,80.0,75.0
143,7539,True,3051,1640,1925,6,0.0,6,67.0,63.0
107,14809,True,412,3338,1926,5,0.0,1,73.0,91.0
70,3357,True,2331,10075,1926,6,0.0,4,67.0,63.0
80,1057,True,2421,7543,1926,6,0.0,3,67.0,63.0
115,1768,True,3745,5416,1926,6,0.0,3,13.0,41.0
92,1165,True,74,1383,1926,5,-0.6999999999999998,3,67.0,63.0
