tconst,movieTitle,runtimeMinutes,numVotes,label,director_id,writer_id,Year,title_language,title_uniqueness,sentiment_score,word_count,title_word_length_std,tomatometer_rating,tomatometer_count,audience_rating,audience_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,Action & Adventure,Animation,Anime & Manga,Art House & International,Classics,Comedy,Cult Movies,Documentary,Drama,Faith & Spirituality,Gay & Lesbian,Horror,Kids & Family,Musical & Performing Arts,Mystery & Suspense,Romance,Science Fiction & Fantasy,Special Interest,Sports & Fitness,Television,Unknown,Western
0,3922,93,1119,False,1896,3206,1918,22,0.25,0.0,1,0.0,58.480244321435386,0.0,59.18973086466883,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,6031,66,1898,True,2271,7320,1919,5,0.25,0.0,2,0.5,58.480244321435386,0.0,59.18973086466883,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,6499,79,2439,True,2613,1836,1920,6,0.14285714285714285,0.0,4,1.118033988749895,88.0,8.0,71.0,4985.0,7,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
3,6623,94,1264,True,374,3565,1920,9,0.5,0.0,3,1.632993161855452,58.480244321435386,0.0,59.18973086466883,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,7529,145,5376,True,76,5353,1920,6,0.2,-0.15555555555555556,3,0.4714045207910317,95.0,19.0,69.0,1060.0,18,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5,6338,68,121452,True,21,21,1921,6,0.3333333333333333,0.0,2,0.0,100.0,43.0,95.0,15438.0,43,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,1772,97,5842,True,86,7066,1921,5,0.3333333333333333,0.0,1,0.0,58.480244321435386,0.0,59.18973086466883,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7,4439,150,13335,True,76,2295,1921,31,0.3333333333333333,0.0,4,1.920286436967152,92.0,13.0,71.0,468.0,12,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
8,2694,91,13679,True,991,1613,1922,24,1.0,0.0,1,0.0,58.480244321435386,0.0,59.18973086466883,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
9,4921,143,2178,True,1277,183,1922,24,0.2,0.0,2,0.5,54.0,28.0,81.0,271691.0,15,13,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
10,6080,87,1252,True,1314,2311,1923,10,0.5,0.0,3,2.0548046676563256,58.480244321435386,0.0,59.18973086466883,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
11,6759,183,1231,True,3276,6604,1924,6,0.3333333333333333,0.0,5,1.7204650534085253,58.480244321435386,0.0,59.18973086466883,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
12,6277,133,5288,True,3626,3435,1923,6,0.25,0.0,5,2.4166091947189146,92.0,24.0,76.0,2958.0,22,2,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
13,4454,65,10911,True,6,3202,1923,6,0.16666666666666666,0.0,2,4.0,96.0,27.0,89.0,3413.0,26,1,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
14,6647,47,4891,True,21,21,1923,6,1.0,0.0,2,2.0,58.480244321435386,0.0,59.18973086466883,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
15,7121,63,4312,True,6,5,1923,6,0.125,0.0,2,0.5,58.480244321435386,0.0,59.18973086466883,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
16,7630,63,1739,True,2610,7101,1923,6,0.125,0.0,2,1.0,58.480244321435386,0.0,59.18973086466883,0.0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
