tconst,movieTitle,runtimeMinutes,numVotes,label,director_id,writer_id,Year,title_language,title_uniqueness,sentiment_score,word_count,title_word_length_std,average_sentiment_score
0,3922,93,1119,False,1896,3206,1918,22,0.25,0.0,1,0.0,0.0
1,6031,66,1898,True,2271,7320,1919,5,0.25,0.0,2,0.5,0.0
2,6499,79,2439,True,2613,8874,1920,6,0.14285714285714285,0.0,4,1.118033988749895,0.4936454545454545
3,6623,94,1264,True,374,3565,1920,9,0.5,0.0,3,1.632993161855452,0.0
4,7529,145,5376,True,76,71,1920,6,0.2,-0.15555555555555559,3,0.4714045207910317,0.3465
5,6338,68,121452,True,21,21,1921,6,0.3333333333333333,0.0,2,0.0,0.1720025641025641
6,1772,97,5842,True,86,7066,1921,5,0.3333333333333333,0.0,1,0.0,0.0
7,4439,150,13335,True,76,71,1921,31,0.3333333333333333,0.0,4,1.920286436967152,0.3155909090909091
8,2694,91,13679,True,991,1613,1922,24,1.0,0.0,1,0.0,0.0
9,4921,143,2178,True,1277,7379,1922,24,0.2,0.0,2,0.5,0.11495140186915888
10,6080,87,1252,True,1314,2311,1923,10,0.5,0.0,3,2.0548046676563256,0.0
11,6759,183,1231,True,3276,6604,1924,6,0.3333333333333333,0.0,5,1.7204650534085253,0.0
12,6277,133,5288,True,3626,5850,1923,6,0.25,0.0,5,2.4166091947189146,0.298025974025974
13,4454,65,10911,True,758,4872,1923,6,0.16666666666666666,0.0,2,4.0,0.5139045454545454
14,6647,47,4891,True,21,21,1923,6,1.0,0.0,2,2.0,0.0
15,7121,63,4312,True,6,5,1923,6,0.125,0.0,2,0.5,0.0
16,7630,63,1739,True,2610,7101,1923,6,0.125,0.0,2,1.0,0.0
17,2489,87,3327,True,3345,4344,1924,29,0.1,-0.5,2,0.5,0.0
18,6377,77,13335,True,385,4642,1924,5,1.0,0.15,3,0.816496580927726,0.38654
19,6559,59,9652,True,1087,3202,1924,6,0.16666666666666666,0.0,2,3.0,0.5676428571428571
20,4575,105,1042,True,814,2836,1924,13,0.02631578947368421,0.0,2,1.0,0.3522229885057471
21,5496,82,7695,True,200,5532,1925,26,0.25,0.0,1,0.0,0.4837666666666667
22,6918,155,6001,True,3519,5201,1924,6,0.045454545454545456,0.0,4,1.5811388300841898,0.32503333333333334
23,6133,77,5374,True,2610,4344,1925,6,0.08333333333333333,0.0,2,2.5,0.41765128205128205
24,6331,125,1554,True,2703,9174,1925,6,0.3333333333333333,0.0,3,1.699673171197595,0.0
25,6178,95,107475,True,21,21,1925,6,1.0,0.0,3,0.4714045207910317,0.43824146341463416
26,2571,140,9649,True,336,2369,1924,0,0.25,0.0,1,0.0,0.026935915492957745
27,6421,81,1646,True,868,1352,1935,6,0.3333333333333333,-0.1875,3,1.699673171197595,0.0
28,6639,93,17887,True,1905,8946,1925,6,0.025,0.0,5,1.7888543819998317,0.11539107142857143
29,7037,95,1497,False,3116,6237,1925,6,0.00847457627118644,0.0,4,1.6393596310755,0.4068141592920354
30,757,77,3285,True,6,4757,1926,5,0.16666666666666666,0.0,2,1.0,0.22833
31,826,143,7539,True,2613,1390,1925,6,0.04,0.0,6,1.8856180831641267,0.0
32,2208,107,14809,True,385,2832,1926,5,0.3333333333333333,0.0,1,0.0,0.3486909090909091
33,191,70,3357,True,2009,8437,1926,6,0.2,0.0,4,2.29128784747792,0.0
