movieTitle,tomatometer_rating,audience_rating
Percy Jackson  the Olympians The Lightning Thief,49.0,53.0
Please Give,87.0,64.0
10,67.0,53.0
12 Angry Men Twelve Angry Men,100.0,97.0
20000 Leagues Under The Sea,89.0,74.0
10000 BC,8.0,37.0
The 39 Steps,96.0,86.0
310 to Yuma,96.0,79.0
Charly A Heartbeat Away,20.0,87.0
Abraham Lincoln,82.0,40.0
Dark Water,80.0,66.0
The Accused,91.0,79.0
The Lost City,25.0,64.0
The Breaking Point,100.0,86.0
Adams Rib,96.0,86.0
The Bridge of San Luis Rey,4.0,35.0
The Prowler Cost of Living,100.0,86.0
Criminal,69.0,57.0
The Adventures of Mark Twain,80.0,82.0
Deep Blue,67.0,80.0
The Adventures of Robin Hood,100.0,89.0
Man Hunt,92.0,75.0
Dead End,75.0,60.0
Bandwagon,80.0,91.0
Whore,0.0,63.0
Tristan  Isolde,31.0,71.0
Wild Side,63.0,80.0
A Tale of Two Pizzas,38.0,63.0
Running Scared,41.0,79.0
Going the Distance,0.0,61.0
Ultraviolet,8.0,30.0
Home of the Brave,93.0,48.0
Arthur and the Invisibles Arthur and the Minimoys,22.0,56.0
Malevolence,33.0,83.0
Eternal,21.0,39.0
A Farewell To Arms,0.0,37.0
The Narrow Margin,100.0,88.0
The Matador,75.0,65.0
Smile,15.0,66.0
The Intruder LIntrus,87.0,73.0
Saint Ralph,64.0,85.0
The Baxter,32.0,75.0
Oliver Twist,61.0,63.0
The Alamo,52.0,63.0
G,24.0,60.0
Alexander the Great,0.0,42.0
Alfie,96.0,76.0
Neverwas,14.0,65.0
The Second Chance,44.0,78.0
Moonlight,60.0,67.0
Aliens,97.0,94.0
Rise Blood Hunter,36.0,20.0
All About Eve,99.0,94.0
When Do We Eat,42.0,68.0
The Mostly Unfabulous Social Life of Ethan Green,30.0,58.0
Dirty,21.0,42.0
Stay Alive,10.0,55.0
All of Me,85.0,67.0
All Quiet on the Western Front,100.0,69.0
Dreamland,67.0,65.0
Independent Lens,84.0,84.0
All the Kings Men,95.0,78.0
Street Fight,100.0,93.0
Lost Horizon,20.0,45.0
The Motel,88.0,64.0
Once in a Lifetime The Extraordinary Story of the New York Cosmos,81.0,80.0
Requiem,86.0,66.0
Gui si Silk,40.0,57.0
Park,36.0,48.0
The 4th Dimension,63.0,31.0
Bon Cop Bad Cop,78.0,82.0
Amazing Grace,67.0,85.0
The Silence,50.0,38.0
Cocaine Cowboys,69.0,79.0
Gone,54.0,20.0
The Situation,35.0,58.0
Snow Blind,20.0,63.0
Four Sheets to the Wind,100.0,61.0
The Tigers Tail,14.0,30.0
Its a Boy Girl Thing,67.0,61.0
Slipstream,25.0,29.0
Delirious,83.0,57.0
Interview,58.0,55.0
American Anthem,0.0,65.0
The Ten,35.0,40.0
The Happening,17.0,24.0
Moliere,69.0,79.0
Straightheads Closure,40.0,32.0
Borderland,100.0,43.0
Spiral,55.0,59.0
Alexandra,88.0,69.0
Blood and Tears The ArabIsraeli Conflict,50.0,33.0
The Cool School,92.0,63.0
Pathology,45.0,39.0
Disneys A Christmas Carol,52.0,58.0
Deep Water,96.0,87.0
Road to Victory,78.0,78.0
Beverly Hills Chihuahua,40.0,52.0
Fireflies in the Garden,22.0,45.0
The Eye,21.0,43.0
Day of the Dead,13.0,22.0
My Best Friends Girl,14.0,46.0
The Burrowers,75.0,34.0
The Midnight Meat Train,73.0,50.0
The Lucky Ones,37.0,54.0
Run Fatboy Run,47.0,64.0
Closing Escrow,54.0,36.0
Whiteout,7.0,21.0
Randy and the Mob,56.0,39.0
Black Irish,31.0,58.0
Wild Child,41.0,61.0
