Unnamed: 0,tconst,primaryTitle,startYear,runtimeMinutes,numVotes,label
5,tt0011439,The Mark of Zorro,1920,79,2439.0,True
10,tt0012532,Ớrpháns ớf thé Stớrm,1921,150,0.0,True
13,tt0013933,The Faithful Heart,1923,87,1252.0,True
31,tt0015400,The Thief of Bagdad,1924,155,6001.0,True
33,tt0015842,The Joyless Street,1925,125,1554.0,True
41,tt0016544,The Wizard of Oz,1925,95,1497.0,False
43,tt0016641,Ben-Hur: A Tale of the Christ,1925,143,7539.0,True
49,tt0017463,3 Bad Men,1926,92,1165.0,True
55,tt0018379,7th Heaven,1927,110,3499.0,True
58,tt0018528,The Unknown,1927,63,7850.0,True
60,tt0018684,Beggars of Life,2007,100,1093.0,True
86,tt0021884,Frankenstein,1931,70,69780.0,True
100,tt0022787,Wooden Crosses,1932,115,1409.0,True
105,tt0023303,One Hour with You,1932,78,2389.0,True
114,tt0023937,Pássing Fáncy,1933,100,1306.0,True
121,tt0024127,Our Flags Lead Us Forward,1933,95,1733.0,False
133,tt0024902,Blue Steel,1934,54,1546.0,False
145,tt0025898,Tớni,1935,84,1766.0,True
170,tt0028021,Osaka Elegy,1936,71,2253.0,True
186,tt0028708,Charlie Chan at the Olympics,1937,71,0.0,True
194,tt0029192,Make Way for Tomorrow,1937,91,8144.0,True
199,tt0029440,The Prince and the Pauper,1937,118,2482.0,True
201,tt0029608,Stella Dallas,1937,106,5254.0,True
207,tt0029947,Bringing Up Baby,1938,102,59515.0,True
212,tt0030241,Hớlidáy,2007,95,15746.0,True
230,tt0031381,Gone with the Wind,1939,238,303845.0,True
246,tt0031951,Sớn ớf Fránkénstéin,1939,99,9957.0,True
267,tt0032617,I Love You Again,1940,99,3232.0,True
278,tt0033045,The Shop Around the Corner,2007,99,30968.0,True
303,tt0034162,Thé Séá Wớlf,1941,100,3661.0,True
304,tt0034224,Spooks Run Wild,1941,65,1688.0,False
306,tt0034398,Thé Wớlf Mán,1941,70,25976.0,True
313,tt0034587,Cat People,1942,73,0.0,True
333,tt0035429,Wént thé Dáy Wéll?,1942,92,3549.0,True
335,tt0035446,To Be or Not to Be,1942,99,34514.0,True
337,tt0035567,Woman of the Year,1942,114,9842.0,True
365,tt0037017,Lifeboat,1944,97,28060.0,True
389,tt0037885,Love Letters,1945,101,1544.0,True
424,tt0039208,Boomerang!,1947,88,0.0,True
427,tt0039302,Dark Passage,1947,106,19034.0,True
433,tt0039536,Kiss of Death,1947,99,8064.0,True
463,tt0040536,Letter from an Unknown Woman,1948,87,11921.0,True
476,tt0040866,La Terra Trema,1948,160,4876.0,True
484,tt0041386,The Fountainhead,1949,114,0.0,True
486,tt0041460,The Hidden Room,1949,96,1895.0,True
493,tt0041699,Stray Dog,1949,122,16502.0,True
505,tt0042209,At War with the Army,1950,93,2325.0,False
507,tt0042235,Beauty and the Devil,1950,96,1550.0,True
529,tt0043286,Angels in the Outfield,1951,99,2314.0,True
531,tt0043338,Ace in the Hole,1951,111,34375.0,True
539,tt0043757,Lost Continent,1951,83,1497.0,False
542,tt0043879,On Dangerous Ground,1951,82,6857.0,True
548,tt0043959,Rawhide,1951,89,2645.0,True
553,tt0044320,Abbott and Costello Meet Captain Kidd,1952,70,2135.0,False
561,tt0044741,Ikiru,1952,143,74694.0,True
567,tt0044982,Thé Flávớr ớf Gréén Téá Ớvér Ricé,1952,116,2833.0,True
574,tt0045201,Thé Strángér in Bétwéén,1952,84,1030.0,True
578,tt0045465,99 River Street,2007,83,2842.0,True
589,tt0045826,Glen or Glenda,1953,65,8491.0,False
603,tt0046375,The Stranger Wore a Gun,2007,83,0.0,False
619,tt0047296,On the Waterfront,1954,108,149783.0,True
633,tt0047878,The Big Combo,1955,87,7256.0,True
649,tt0048424,Thé Night ớf thé Húntér,1955,92,86393.0,True
651,tt0048473,Pather Panchali,1955,125,29571.0,True
652,tt0048488,The Phenix City Story,1955,100,2581.0,True
671,tt0049012,The Burmese Harp,1956,116,5758.0,True
677,tt0049223,Forbidden Planet,1956,98,47621.0,True
692,tt0049615,"The Phantom from 10,000 Leagues",2007,81,1700.0,False
720,tt0050545,Invásiớn ớf thé Sáúcér Mén,1957,69,1812.0,False
725,tt0050665,Madhumati,1958,110,1394.0,True
731,tt0050976,The Seventh Seal,1957,96,177539.0,True
753,tt0051845,The Last Hurrah,1958,121,3504.0,True
760,tt0052005,No Time for Sergeants,1958,119,3938.0,True
769,tt0052216,Big Deal on Madonna Street,1958,106,10091.0,True
778,tt0052561,Ánátớmy ớf á Múrdér,1959,161,64067.0,True
780,tt0052600,Ballad of a Soldier,1959,88,10124.0,True
