column0,tconst,primaryTitle,startYear,runtimeMinutes,numVotes,label,director_id,writer_id,movie_age,log_numVotes,runtime_category
25,tt0015163,The Navigator,1924.0,59,9652.0,True,,,101.0,9.175024026848615,short
746,tt0051507,Curse of the Faceless Man,1958.0,67,1035.0,False,,,67.0,6.943122422819428,medium
766,tt0052151,Run Silent Run Deep,1958.0,93,11169.0,True,,,67.0,9.320986892063246,long
815,tt0053242,Sápphiré,1959.0,92,1730.0,True,,,66.0,7.456454555176209,long
989,tt0057530,A Stitch in Time,1963.0,89,1122.0,True,,,62.0,7.023758954738443,medium
1239,tt0064107,A Boy Named Charlie Brown,1969.0,86,4856.0,True,,,56.0,8.488176242345745,medium
1309,tt0066289,The Cruise,1970.0,65,3318.0,True,,,55.0,8.107418811719974,medium
1429,tt0069024,Nothing But the Night,1973.0,90,1741.0,False,,,52.0,7.462789157412448,medium
1480,tt0070439,Unbelievable Adventures of Italians in Russia,1974.0,104,5541.0,True,,,51.0,8.620110725422924,long
1514,tt0071532,The Gambler,1974.0,111,4984.0,True,,,51.0,8.514188682395938,long
1730,tt0078252,Snake in the Eagle's Shadow,1978.0,97,11419.0,True,,,47.0,9.343121483210002,long
2119,tt0088146,A Soldier's Story,1984.0,101,,True,,,41.0,,long
2382,tt0094594,1969,1988.0,95,3739.0,False,,,37.0,8.226840890408578,long
2487,tt0097263,Edge of Sanity,1989.0,85,1457.0,False,,,36.0,7.284820912568604,medium
2644,tt0101698,Défénding Yớúr Lifé,1991.0,112,18397.0,True,,,34.0,9.819997242037102,long
2724,tt0104299,Freejack,1992.0,110,15791.0,False,,,33.0,9.667258761673263,long
2766,tt0105438,Dream of Light,1992.0,133,,True,,,33.0,,very long
2862,tt0108255,Super Mario Bros.,1993.0,104,52587.0,False,,,32.0,10.870243235816496,long
3080,tt0114496,Something to Talk About,1995.0,106,14839.0,False,,,30.0,9.605081516721372,long
3103,tt0115577,Ásphált Tángớ,1996.0,100,,True,,,29.0,,long
3139,tt0116289,Feeling Minnesota,1996.0,99,10982.0,False,,,29.0,9.304103901788347,long
3179,tt0117070,Mojave Moon,1996.0,95,2572.0,False,,,29.0,7.8528278122817445,long
3266,tt0119203,Glam,1997.0,92,2404.0,False,,,28.0,7.785305182539862,long
3269,tt0119239,Gupt: The Hidden Truth,1997.0,173,4905.0,True,,,28.0,8.498214224818435,very long
3294,tt0119642,Mean Guns,1997.0,104,,False,,,28.0,,long
3369,tt0120917,The Emperor's New Groove,2000.0,78,192434.0,True,,,25.0,12.16751371335155,medium
3982,tt0261199,Thé Pricé ớf Áir,2000.0,88,1128.0,False,,,25.0,7.029087564149662,medium
4123,tt0286716,Hulk,2003.0,138,260766.0,False,,,22.0,12.471382567286234,very long
4262,tt0315642,Wazir,2016.0,103,18501.0,True,,,9.0,9.825634113331263,long
4593,tt0382628,Dark Water,2005.0,105,61511.0,False,,,20.0,11.026987556712017,long
4612,tt0385751,Thé Kétchúp Éfféct,2004.0,90,4678.0,False,,,21.0,8.450839690866216,medium
4991,tt0457496,Street Fight,2005.0,83,2046.0,True,,,20.0,7.624130585661289,medium
5190,tt0495747,Thé Qúick ánd thé Úndéád,2006.0,80,1414.0,False,,,19.0,7.254884810077338,medium
5209,tt0499375,Guru,2007.0,162,23099.0,True,,,18.0,10.047587896509885,very long
5327,tt0814380,Notte prima degli esami - Oggi,2007.0,102,2218.0,False,,,18.0,7.704811922932594,long
5592,tt1010048,Slumdog Millionaire,2008.0,120,822486.0,True,,,17.0,13.620087956025632,long
5752,tt10734864,Honeydew,2020.0,106,1436.0,False,,,5.0,7.270312886079025,long
5857,tt1119191,Thé Killing Rớớm,2009.0,93,14258.0,False,,,16.0,9.565143565282119,long
5874,tt1125849,The Wrestler,2008.0,109,298596.0,True,,,17.0,12.606850117151291,long
6064,tt1194238,Pớlytéchniqúé,2009.0,77,15651.0,True,,,16.0,9.658353983330302,medium
6141,tt1236472,Lemmy,2010.0,116,8204.0,True,,,15.0,9.01249900352419,long
6275,tt13069986,After We Fell,2021.0,98,7576.0,False,,,4.0,8.932872621931374,long
6460,tt1417592,Péárl Jám Twénty,2011.0,119,7827.0,True,,,14.0,8.965462328515967,long
6509,tt1448762,Open House,2010.0,88,,False,,,15.0,,medium
6792,tt1646958,Thé Áútớbiớgráphy ớf Nicớláé Céáúséscú,2010.0,180,1459.0,True,,,15.0,7.286191714702382,very long
