Unnamed: 0,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label,director_id,writer_id
4,tt0010600,The Doll,Die Puppe,1919.0,\N,66.0,1898.0,True,nm0523932,nm0932559
7,tt0011841,Way Down East,Way Down East,1920.0,\N,145.0,5376.0,True,nm0000428,nm0000428
9,tt0012494,Déstiny,Der müde Tod,1921.0,\N,97.0,5842.0,True,nm0000485,nm0902376
25,tt0015163,The Navigator,The Navigator,1924.0,\N,59.0,9652.0,True,nm0000036,nm0369841
38,tt0016220,The Phantom of the Opera,The Phantom of the Opera,1925.0,\N,93.0,17887.0,True,nm0781292,nm1541473
42,tt0016630,Báttling Bútlér,Battling Butler,1926.0,\N,77.0,3285.0,True,nm0000036,nm0577650
81,tt0021015,Juno and the Paycock,,1929.0,\N,85.0,2275.0,False,nm0000033,nm0720904
118,tt0023973,Thé Éáglé ánd thé Háwk,,1933.0,\N,73.0,4701.0,True,nm0500552,nm0766850
119,tt0023986,Émplớyéés' Éntráncé,,1933.0,\N,75.0,4701.0,True,nm0215877,nm0091200
123,tt0024184,The Invisible Man,The Invisible Man,1933.0,\N,71.0,33562.0,True,nm0001843,nm0943804
125,tt0024216,King Kong,King Kong,1933.0,\N,100.0,83177.0,True,nm0178260,nm0330390
135,tt0025028,Dames,,1934.0,\N,91.0,2038.0,True,nm0258015,nm0520501
163,tt0027478,The Crime of Monsieur Lange,Le crime de Monsieur Lange,1936.0,\N,80.0,4701.0,True,nm0719756,nm0719756
180,tt0028333,Swing Timé,,1936.0,\N,103.0,4701.0,True,nm0828419,nm0949130
215,tt0030341,The Lady Vanishes,The Lady Vanishes,1938.0,\N,96.0,50707.0,True,nm0000033,nm0490950
222,tt0031143,The Cat and the Canary,,1939.0,\N,72.0,2967.0,True,nm0637790,nm0929616
231,tt0031385,"Goodbye, Mr. Chips",,1939.0,\N,114.0,10311.0,True,nm0291548,nm0385264
239,tt0031647,Midnight,,1939.0,\N,94.0,4904.0,True,nm0500552,nm0776456
242,tt0031762,Only Angels Have Wings,,1939.0,\N,121.0,13595.0,True,nm0001328,nm0710299
253,tt0032156,The Story of the Last Chrysanthemum,Zangiku monogatari,1939.0,\N,143.0,3600.0,True,nm0003226,nm0406808
265,tt0032520,The Ghost Breakers,,1940.0,\N,85.0,3378.0,True,nm0550892,nm0323766
272,tt0032904,The Philadelphia Story,,2006.0,1940,112.0,66874.0,True,nm0002030,nm0759029
276,tt0033022,Sáps át Séá,Saps at Sea,1940.0,\N,56.0,2766.0,True,nm0235066,nm0491048
279,tt0033152,The Thief of Bagdad,,2006.0,1940,106.0,12840.0,True,nm0580017,nm0000067
300,tt0033945,Never Give a Sucker an Even Break,,1941.0,\N,71.0,2315.0,True,nm0166836,nm0001211
317,tt0034862,Holiday Inn,Holiday Inn,1942.0,\N,100.0,14436.0,True,nm0020980,nm0841702
321,tt0035009,The Mad Monster,,1942.0,\N,77.0,1720.0,False,nm0627864,nm0617202
348,tt0036260,Phantom Lady,Phantom Lady,1944.0,\N,87.0,4833.0,True,nm0802563,nm0941280
357,tt0036716,Cobra Woman,Cobra Woman,1944.0,\N,71.0,1101.0,False,nm0802563,nm0201405
367,tt0037055,The Mask of Dimitrios,,1944.0,\N,95.0,3530.0,True,nm0624535,nm0001907
390,tt0037913,Mildréd Piércé,Mildred Pierce,1945.0,\N,111.0,24727.0,True,nm0002031,nm0932163
391,tt0037939,The Naughty Nineties,The Naughty Nineties,1945.0,\N,76.0,1957.0,True,nm0946391,nm0115669
394,tt0038057,Scarlet Street,,1945.0,\N,102.0,15930.0,True,nm0000485,nm0629580
400,tt0038355,The Big Sleep,,1946.0,\N,114.0,83357.0,True,nm0001328,nm0151452
407,tt0038733,Stáirwáy tớ Héávén,A Matter of Life and Death,1946.0,\N,104.0,21218.0,True,nm0696247,nm0696247
428,tt0039305,Dead Reckoning,,2006.0,1947,100.0,7368.0,True,nm0188669,nm0081126
437,tt0039631,Monsieur Verdoux,,1947.0,\N,124.0,16962.0,True,nm0000122,nm0000080
442,tt0039676,The October Man,The October Man,2006.0,1947,95.0,1260.0,True,nm0001928,nm0001907
