Unnamed: 0,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label,director_id,writer_id
5,tt0011439,The Mark of Zorro,The Mark of Zorro,1920,\N,79,2439.0,True,nm0629243,nm1491939
10,tt0012532,Ớrpháns ớf thé Stớrm,,1921,\N,150,,True,nm0000428,nm0000428
13,tt0013933,The Faithful Heart,Coeur fidèle,1923,\N,87,1252.0,True,nm0258477,nm0258506
31,tt0015400,The Thief of Bagdad,,1924,\N,155,6001.0,True,nm0909825,nm0640884
43,tt0016641,Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,1925,\N,143,7539.0,True,nm0629243,nm0129721
43,tt0016641,Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,1925,\N,143,7539.0,True,nm0102643,nm0129721
43,tt0016641,Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,1925,\N,143,7539.0,True,nm0127511,nm0129721
43,tt0016641,Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,1925,\N,143,7539.0,True,nm0169905,nm0129721
43,tt0016641,Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,1925,\N,143,7539.0,True,nm0002271,nm0129721
49,tt0017463,3 Bad Men,3 Bad Men,1926,\N,92,1165.0,True,nm0000406,nm0102167
55,tt0018379,7th Heaven,7th Heaven,1927,\N,110,3499.0,True,nm0097648,nm0615868
60,tt0018684,Beggars of Life,Beggars of Life,\N,1928,100,1093.0,True,nm0920074,nm0876432
86,tt0021884,Frankenstein,Frankenstein,1931,\N,70,69780.0,True,nm0001843,nm0751246
100,tt0022787,Wooden Crosses,,1932,\N,115,1409.0,True,nm0076368,nm0485676
105,tt0023303,One Hour with You,One Hour with You,1932,\N,78,2389.0,True,nm0002030,nm0545401
105,tt0023303,One Hour with You,One Hour with You,1932,\N,78,2389.0,True,nm0523932,nm0545401
114,tt0023937,Pássing Fáncy,Dekigokoro,1933,\N,100,1306.0,True,nm0654868,nm0654868
121,tt0024127,Our Flags Lead Us Forward,,1933,\N,95,1733.0,False,nm0826094,nm0530731
133,tt0024902,Blue Steel,Blue Steel,1934,\N,54,1546.0,False,nm0102908,nm0102908
170,tt0028021,Osaka Elegy,,1936,\N,71,2253.0,True,nm0003226,nm0406808
194,tt0029192,Make Way for Tomorrow,Make Way for Tomorrow,1937,\N,91,8144.0,True,nm0564970,nm0732209
201,tt0029608,Stella Dallas,Stella Dallas,1937,\N,106,5254.0,True,nm0896542,nm0081748
212,tt0030241,Hớlidáy,,\N,1938,95,15746.0,True,nm0002030,nm0058129
230,tt0031381,Gone with the Wind,,1939,\N,238,303845.0,True,nm0281808,nm0886668
230,tt0031381,Gone with the Wind,,1939,\N,238,303845.0,True,nm0002030,nm0886668
230,tt0031381,Gone with the Wind,,1939,\N,238,303845.0,True,nm0939992,nm0886668
246,tt0031951,Sớn ớf Fránkénstéin,Son of Frankenstein,1939,\N,99,9957.0,True,nm0498174,nm0178459
